Date,City,Temperature,Humidity,Pressure,Wind Speed
2022-01-01,Mumbai,38.64,52,1014,5.71
2022-01-02,Delhi,26.28,78,1011,6.73
2022-01-03,Bangalore,15.58,82,1004,3.46
2022-01-04,Chennai,30.52,72,1007,7.67
2022-01-05,Kolkata,27.2,84,1019,8.2
2022-01-06,Mumbai,29.43,42,1021,4.66
2022-01-07,Delhi,23.25,42,1014,8.82
2022-01-08,Bangalore,37.41,41,1014,4.57
2022-01-09,Chennai,39.38,75,1007,9.02
2022-01-10,Kolkata,38.85,52,1022,9.85
2022-01-11,Mumbai,22.86,49,1025,3.2
2022-01-12,Delhi,27.14,42,1013,8.74
2022-01-13,Bangalore,28.27,79,1000,8.57
2022-01-14,Chennai,31.15,74,1011,2.15
2022-01-15,Kolkata,25.29,54,1009,7.31
2022-01-16,Mumbai,27.44,49,1010,3.58
2022-01-17,Delhi,21.15,63,1014,4.68
2022-01-18,Bangalore,19.18,58,1008,2.35
2022-01-19,Chennai,21.17,83,1009,9.86
2022-01-20,Kolkata,25.36,55,1013,8.22
2022-01-21,Mumbai,30.73,67,1016,2.81
2022-01-22,Delhi,23.52,58,1024,6.44
2022-01-23,Bangalore,36.85,42,1009,4.44
2022-01-24,Chennai,36.78,68,1019,5.94
2022-01-25,Kolkata,32.85,65,1022,1.92
2022-01-26,Mumbai,18.27,78,1023,6.91
2022-01-27,Delhi,38.03,72,1001,6.48
2022-01-28,Bangalore,19.92,88,1008,0.88
2022-01-29,Chennai,16.24,77,1021,7.09
2022-01-30,Kolkata,27.27,43,1015,2.35
2022-01-31,Mumbai,36.63,41,1000,2.04
2022-02-01,Delhi,26.12,52,1021,7.63
2022-02-02,Bangalore,35.0,42,1020,4.26
2022-02-03,Chennai,30.72,54,1003,3.51
2022-02-04,Kolkata,36.31,70,1020,9.43
2022-02-05,Mumbai,25.51,47,1011,0.58
2022-02-06,Delhi,20.32,55,1002,4.28
2022-02-07,Bangalore,23.48,56,1005,6.54
2022-02-08,Chennai,24.89,65,1014,3.3
2022-02-09,Kolkata,23.59,44,1015,5.63
2022-02-10,Mumbai,24.16,89,1021,6.52
2022-02-11,Delhi,39.05,81,1011,1.23
2022-02-12,Bangalore,15.05,77,1025,4.11
2022-02-13,Chennai,25.29,90,1005,5.95
2022-02-14,Kolkata,38.78,81,1018,0.62
2022-02-15,Mumbai,27.32,64,1018,2.05
2022-02-16,Delhi,37.95,87,1005,5.23
2022-02-17,Bangalore,38.81,81,1012,7.92
2022-02-18,Chennai,23.69,73,1017,8.17
2022-02-19,Kolkata,15.43,71,1015,7.69
2022-02-20,Mumbai,30.8,54,1019,7.03
2022-02-21,Delhi,26.87,58,1015,4.9
2022-02-22,Bangalore,39.68,86,1025,3.11
2022-02-23,Chennai,25.23,43,1001,7.54
2022-02-24,Kolkata,29.16,66,1007,9.82
2022-02-25,Mumbai,30.85,72,1004,7.81
2022-02-26,Delhi,24.67,58,1001,9.73
2022-02-27,Bangalore,38.68,42,1021,5.13
2022-02-28,Chennai,35.6,70,1019,4.98
2022-03-01,Kolkata,28.63,70,1000,3.97
2022-03-02,Mumbai,23.42,62,1007,5.01
2022-03-03,Delhi,27.73,62,1023,5.15
2022-03-04,Bangalore,37.37,88,1019,4.45
2022-03-05,Chennai,29.38,90,1011,6.12
2022-03-06,Kolkata,36.21,48,1012,7.16
2022-03-07,Mumbai,23.11,52,1005,5.94
2022-03-08,Delhi,22.34,46,1001,2.78
2022-03-09,Bangalore,24.28,89,1005,3.48
2022-03-10,Chennai,37.26,49,1000,6.95
2022-03-11,Kolkata,31.02,51,1000,5.8
2022-03-12,Mumbai,38.84,78,1016,4.58
2022-03-13,Delhi,26.57,65,1021,9.72
2022-03-14,Bangalore,38.47,68,1014,5.58
2022-03-15,Chennai,26.41,75,1023,7.28
2022-03-16,Kolkata,33.93,81,1011,0.87
2022-03-17,Mumbai,25.11,86,1000,2.16
2022-03-18,Delhi,23.19,78,1009,2.64
2022-03-19,Bangalore,31.51,71,1008,5.11
2022-03-20,Chennai,16.79,66,1017,0.5
2022-03-21,Kolkata,15.92,63,1001,7.88
2022-03-22,Mumbai,26.66,49,1001,1.1
2022-03-23,Delhi,19.36,60,1001,2.05
2022-03-24,Bangalore,37.15,68,1025,4.97
2022-03-25,Chennai,21.36,60,1008,0.97
2022-03-26,Kolkata,39.12,73,1024,4.69
2022-03-27,Mumbai,30.16,66,1012,7.23
2022-03-28,Delhi,24.36,63,1011,6.35
2022-03-29,Bangalore,18.19,82,1001,4.69
2022-03-30,Chennai,16.01,70,1017,4.89
2022-03-31,Kolkata,36.19,85,1025,3.49
2022-04-01,Mumbai,38.44,85,1019,6.33
2022-04-02,Delhi,22.89,68,1017,6.24
2022-04-03,Bangalore,19.34,51,1001,6.74
2022-04-04,Chennai,39.61,90,1010,5.86
2022-04-05,Kolkata,38.84,76,1019,2.52
2022-04-06,Mumbai,16.12,54,1012,2.03
2022-04-07,Delhi,32.47,65,1022,8.71
2022-04-08,Bangalore,22.08,47,1024,9.41
2022-04-09,Chennai,36.87,66,1010,9.92
2022-04-10,Kolkata,36.19,83,1007,4.76
2022-04-11,Mumbai,30.82,40,1018,5.62
2022-04-12,Delhi,39.87,83,1019,8.65
2022-04-13,Bangalore,25.69,77,1014,5.97
2022-04-14,Chennai,23.87,59,1023,3.73
2022-04-15,Kolkata,29.81,86,1001,5.45
2022-04-16,Mumbai,26.05,75,1007,4.82
2022-04-17,Delhi,30.37,80,1006,6.77
2022-04-18,Bangalore,19.0,43,1011,6.77
2022-04-19,Chennai,29.04,44,1008,0.76
2022-04-20,Kolkata,32.84,51,1010,4.34
2022-04-21,Mumbai,21.14,74,1006,7.24
2022-04-22,Delhi,21.16,40,1020,9.6
2022-04-23,Bangalore,28.99,52,1006,2.67
2022-04-24,Chennai,34.67,44,1005,7.13
2022-04-25,Kolkata,35.25,75,1024,6.61
2022-04-26,Mumbai,35.58,56,1010,3.06
2022-04-27,Delhi,26.14,69,1007,5.98
2022-04-28,Bangalore,18.25,90,1021,4.57
2022-04-29,Chennai,32.87,84,1009,2.95
2022-04-30,Kolkata,20.42,42,1015,5.73
2022-05-01,Mumbai,26.67,45,1024,3.31
2022-05-02,Delhi,39.53,57,1012,0.52
2022-05-03,Bangalore,37.15,71,1017,6.35
2022-05-04,Chennai,29.78,66,1001,7.37
2022-05-05,Kolkata,20.95,77,1001,4.48
2022-05-06,Mumbai,31.97,84,1005,5.95
2022-05-07,Delhi,27.06,51,1020,2.86
2022-05-08,Bangalore,21.92,64,1020,0.55
2022-05-09,Chennai,38.58,61,1007,1.06
2022-05-10,Kolkata,17.36,83,1021,6.22
2022-05-11,Mumbai,22.63,87,1014,1.18
2022-05-12,Delhi,37.54,61,1002,9.22
2022-05-13,Bangalore,26.49,90,1008,8.03
2022-05-14,Chennai,19.27,49,1002,1.04
2022-05-15,Kolkata,20.2,83,1016,0.72
2022-05-16,Mumbai,21.98,59,1024,4.7
2022-05-17,Delhi,19.53,76,1014,3.79
2022-05-18,Bangalore,36.15,69,1010,0.65
2022-05-19,Chennai,32.37,89,1014,4.47
2022-05-20,Kolkata,33.4,88,1004,1.29
2022-05-21,Mumbai,28.48,70,1018,8.77
2022-05-22,Delhi,38.7,64,1020,7.6
2022-05-23,Bangalore,35.42,88,1016,9.19
2022-05-24,Chennai,15.14,48,1010,1.15
2022-05-25,Kolkata,16.06,61,1023,3.02
2022-05-26,Mumbai,20.7,69,1016,7.82
2022-05-27,Delhi,17.82,57,1023,1.06
2022-05-28,Bangalore,33.29,46,1010,5.28
2022-05-29,Chennai,15.81,71,1020,6.56
2022-05-30,Kolkata,28.78,68,1014,9.67
2022-05-31,Mumbai,15.27,62,1010,8.01
2022-06-01,Delhi,37.85,49,1014,1.11
2022-06-02,Bangalore,21.08,55,1014,2.73
2022-06-03,Chennai,18.98,61,1021,2.92
2022-06-04,Kolkata,25.12,70,1015,3.37
2022-06-05,Mumbai,30.39,55,1015,3.58
2022-06-06,Delhi,15.34,52,1007,0.93
2022-06-07,Bangalore,23.89,68,1025,3.29
2022-06-08,Chennai,23.12,55,1023,7.75
2022-06-09,Kolkata,35.08,77,1011,1.82
2022-06-10,Mumbai,35.96,68,1011,8.26
2022-06-11,Delhi,35.13,69,1018,0.75
2022-06-12,Bangalore,25.07,44,1021,6.17
2022-06-13,Chennai,25.17,58,1019,1.7
2022-06-14,Kolkata,30.32,48,1002,2.69
2022-06-15,Mumbai,26.69,75,1022,8.03
2022-06-16,Delhi,16.12,77,1001,0.59
2022-06-17,Bangalore,19.71,58,1000,8.8
2022-06-18,Chennai,35.95,88,1013,4.24
2022-06-19,Kolkata,34.0,51,1020,1.83
2022-06-20,Mumbai,22.28,76,1016,8.16
2022-06-21,Delhi,28.15,83,1018,5.63
2022-06-22,Bangalore,23.89,66,1002,3.81
2022-06-23,Chennai,29.73,82,1020,1.69
2022-06-24,Kolkata,31.97,42,1020,0.51
2022-06-25,Mumbai,24.72,40,1018,2.2
2022-06-26,Delhi,15.67,40,1007,8.83
2022-06-27,Bangalore,31.85,40,1015,7.77
2022-06-28,Chennai,21.59,73,1009,6.94
2022-06-29,Kolkata,23.25,70,1008,6.92
2022-06-30,Mumbai,36.02,44,1005,5.17
2022-07-01,Delhi,25.59,80,1004,1.21
2022-07-02,Bangalore,36.22,48,1017,9.4
2022-07-03,Chennai,30.27,84,1014,8.2
